"cluster","jumlahanggota"
1 - Processed Chocolates 1,17117
2 - Processed Seeds,17117
3 - Beverage,17999
4 - Processed Fruits,18001
5 - Fruit/Vegetable Juices,16992
6 - Processed Cheeses 1,13458
7 - Processed Chocolates and Milks 1,17807
8 - Processed Chocolates and Nuts 1,16277
9 - Processed Chocolates and Nuts 2,16980
10 - Processed Cheeses 2,17999
11 - Cereals,17992
12 - Processed Chocolates 2,17793
13 - Processed Chocolates and Milks 2,17998
14 - Processed Chocolates and Milks 3,18001
15 - Candies,18001
16 - Breads and Cookies,18001
17 - Snacks,17993
18 - Condiments,17995
19 - Processed Meats 1,18001
20 - Processed Meats 2,18001